name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
fasta,Erlang HiPE,2,2500000,1164,5.244,7628,0,0% 1% 1% 100%,5.256
fasta,Erlang HiPE,2,25000000,1164,49.975,7632,0,0% 0% 0% 100%,49.997
fasta,Go,1,250000,1036,0.176,0,0,0% 0% 0% 100%,0.178
fasta,Go,1,2500000,1036,1.708,1012,0,1% 0% 2% 100%,1.712
fasta,Go,1,25000000,1036,16.676,1012,0,1% 0% 0% 100%,16.687
fasta,Fortran Intel,4,250000,1327,0.036,0,0,20% 0% 0% 80%,0.04
fasta,Fortran Intel,4,2500000,1327,0.348,260,0,3% 0% 3% 100%,0.352
fasta,Fortran Intel,4,25000000,1327,3.176,260,0,0% 1% 0% 100%,3.182
fasta,Lua,1,250000,1049,0.504,1100,0,0% 4% 2% 100%,0.506
fasta,Lua,1,2500000,1049,5.080,1092,0,0% 1% 1% 100%,5.084
fasta,Lua,1,25000000,1049,49.707,1112,0,0% 1% 0% 100%,49.723
fasta,Ruby 2.0,6,250000,772,1.940,5508,0,0% 1% 2% 100%,1.944
fasta,Ruby 2.0,6,2500000,772,17.392,20740,0,0% 0% 0% 100%,17.407
fasta,Ruby 2.0,6,25000000,772,175.432,187976,0,0% 1% 1% 100%,177.549
fasta,Perl,1,250000,838,0.940,3044,0,0% 0% 1% 100%,0.942
fasta,Perl,1,2500000,838,9.404,11756,0,0% 0% 0% 100%,9.411
fasta,Perl,1,25000000,838,92.552,99672,0,0% 0% 0% 100%,92.592
fasta,Pascal Free Pascal,4,250000,1112,0.080,0,0,0% 0% 0% 100%,0.084
fasta,Pascal Free Pascal,4,2500000,1112,0.824,8,0,0% 1% 0% 100%,0.826
fasta,Pascal Free Pascal,4,25000000,1112,7.924,8,0,1% 1% 0% 100%,7.931
fasta,Haskell GHC,2,250000,979,0.044,0,0,0% 0% 0% 100%,0.048
fasta,Haskell GHC,2,2500000,979,0.388,240,0,0% 3% 0% 100%,0.391
fasta,Haskell GHC,2,25000000,979,3.356,2364,0,0% 0% 0% 100%,3.359
fasta,C++ g++,3,250000,1286,0.048,0,0,0% 0% 0% 100%,0.051
fasta,C++ g++,3,2500000,1286,0.472,884,0,2% 0% 0% 100%,0.474
fasta,C++ g++,3,25000000,1286,4.220,884,0,1% 0% 0% 100%,4.226
fasta,Python 3,2,250000,788,2.600,4672,0,0% 0% 1% 100%,2.603
fasta,Python 3,2,2500000,788,26.870,4668,0,0% 1% 0% 100%,26.883
fasta,Python 3,2,25000000,788,259.484,4672,0,0% 1% 1% 100%,262.339
fasta,C gcc,4,250000,1221,0.052,0,0,17% 0% 0% 100%,0.057
fasta,C gcc,4,2500000,1221,0.540,296,0,0% 0% 4% 100%,0.545
fasta,C gcc,4,25000000,1221,5.040,296,0,1% 0% 1% 100%,5.045
fasta,Smalltalk VisualWorks,1,250000,1315,0.528,21952,0,0% 2% 9% 93%,0.564
fasta,Smalltalk VisualWorks,1,2500000,1315,4.584,21956,0,0% 0% 1% 98%,4.676
fasta,Smalltalk VisualWorks,1,25000000,1315,44.627,21956,0,0% 1% 1% 100%,44.657
fasta,JavaScript V8,1,250000,791,0.324,284,0,0% 0% 6% 97%,0.328
fasta,JavaScript V8,1,2500000,791,3.136,7848,0,0% 0% 0% 100%,3.141
fasta,JavaScript V8,1,25000000,791,19.340,7856,0,0% 0% 0% 100%,19.351
fasta,Clojure,5,250000,1839,11.104,62444,0,0% 0% 1% 100%,11.117
fasta,Clojure,5,2500000,1839,12.780,80524,0,0% 0% 0% 100%,12.797
fasta,Clojure,5,25000000,1839,20.544,80544,0,0% 0% 0% 100%,20.561
fasta,Lisp SBCL,6,250000,1751,0.096,4052,0,5% 2% 0% 100%,0.596
fasta,Lisp SBCL,6,2500000,1751,0.880,4308,0,0% 1% 2% 100%,0.883
fasta,Lisp SBCL,6,25000000,1751,8.168,8268,0,0% 0% 0% 100%,8.174
fasta,PHP,4,250000,1110,0.708,2584,0,0% 0% 3% 100%,0.713
fasta,PHP,4,2500000,1110,7.216,2584,0,1% 0% 0% 100%,7.223
fasta,PHP,4,25000000,1110,68.012,2588,0,0% 0% 0% 100%,68.039
fasta,Dart,1,250000,1426,0.208,316,0,5% 0% 0% 100%,0.215
fasta,Dart,1,2500000,1426,1.220,54776,0,2% 0% 1% 100%,1.226
fasta,Dart,1,25000000,1426,9.692,287956,0,1% 0% 0% 100%,9.698
fasta,Java 7,4,250000,1507,0.160,0,0,0% 0% 0% 100%,0.163
fasta,Java 7,4,2500000,1507,0.676,15164,0,0% 1% 1% 100%,0.678
fasta,Java 7,4,25000000,1507,5.040,15432,0,0% 0% 0% 100%,5.046
